sku,name,type,price,description,compatible_skus
A001,Galaxy X1 Case,Case,29,Durable protective case, P001
A002,Galaxy X1 Screen Protector,Screen Protector,19,Tempered glass protector, P001
A003,Galaxy X2 Case,Case,29,Durable protective case, P002
A004,Galaxy X2 Screen Protector,Screen Protector,19,Tempered glass protector, P002
A005,iPhone 14 Case,Case,39,Shockproof case, P003
A006,iPhone 14 Screen Protector,Screen Protector,19,Tempered glass, P003
A007,iPhone 14 Pro Case,Case,45,Premium leather case, P004
A008,iPhone 14 Pro Screen Protector,Screen Protector,25,High-quality tempered glass, P004
A009,Pixel 7 Case,Case,29,Soft-touch protective case, P005
A010,Pixel 7 Screen Protector,Screen Protector,19,Tempered glass, P005
A011,Pixel 7 Pro Case,Case,35,Durable protective case, P006
A012,Pixel 7 Pro Screen Protector,Screen Protector,19,High-quality tempered glass, P006
A013,OnePlus 10 Case,Case,29,Shockproof case, P007
A014,OnePlus 10 Screen Protector,Screen Protector,19,Tempered glass, P007
A015,OnePlus 10 Pro Case,Case,39,Premium protective case, P008
A016,OnePlus 10 Pro Screen Protector,Screen Protector,19,High-quality tempered glass, P008
A017,Samsung Tab S8 Cover,Case,49,Protective tablet cover, P009
A018,Samsung Tab S8 Screen Protector,Screen Protector,29,Tempered glass, P009
A019,iPad Air 5 Case,Case,39,Protective iPad cover, P010
A020,iPad Air 5 Screen Protector,Screen Protector,19,Tempered glass, P010
A021,iPad Pro 12.9 Case,Case,49,Premium iPad cover, P011
A022,iPad Pro 12.9 Screen Protector,Screen Protector,25,High-quality tempered glass, P011
A023,Galaxy Tab A8 Case,Case,29,Durable tablet case, P012
A024,Galaxy Tab A8 Screen Protector,Screen Protector,19,Tempered glass, P012
A025,Xiaomi Mi 12 Case,Case,29,Protective case, P013
A026,Xiaomi Mi 12 Screen Protector,Screen Protector,19,Tempered glass, P013
A027,Xiaomi Mi 12 Pro Case,Case,39,Premium case, P014
A028,Xiaomi Mi 12 Pro Screen Protector,Screen Protector,19,High-quality tempered glass, P014
A029,Redmi Note 12 Case,Case,19,Protective cover, P015
A030,Redmi Note 12 Screen Protector,Screen Protector,9,Tempered glass, P015
A031,Redmi Note 12 Pro Case,Case,25,Durable cover, P016
A032,Redmi Note 12 Pro Screen Protector,Screen Protector,19,Tempered glass, P016
A033,Oppo Find X5 Case,Case,29,Protective case, P017
A034,Oppo Find X5 Screen Protector,Screen Protector,19,Tempered glass, P017
A035,Oppo Find X5 Pro Case,Case,39,Premium case, P018
A036,Oppo Find X5 Pro Screen Protector,Screen Protector,25,High-quality tempered glass, P018
A037,Vivo X80 Case,Case,29,Durable case, P019
A038,Vivo X80 Screen Protector,Screen Protector,19,Tempered glass, P019
A039,Vivo X80 Pro Case,Case,39,Premium case, P020
A040,Vivo X80 Pro Screen Protector,Screen Protector,25,Tempered glass, P020
A041,Samsung Galaxy Z Flip Case,Case,49,Protective case, P021
A042,Samsung Galaxy Z Fold Case,Case,59,Premium foldable phone cover, P022
A043,iPhone SE 3 Case,Case,29,Shockproof case, P023
A044,iPhone 13 Case,Case,39,Protective cover, P024
A045,iPhone 13 Pro Case,Case,45,Premium case, P025
A046,Pixel 6a Case,Case,25,Durable case, P026
A047,Pixel 6 Case,Case,29,Soft-touch case, P027
A048,Pixel 6 Pro Case,Case,39,Premium case, P028
A049,OnePlus Nord 2 Case,Case,19,Protective case, P029
A050,OnePlus Nord 2T Case,Case,25,Durable case, P030
A051,Samsung Galaxy A53 Case,Case,19,Protective case,
